,rank,id,artist,song,year,query,searcher,clean_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
39,40,40,Flo Rida featuring David Guetta,Club Can't Handle Me,2010,Flo Rida,Flo Rida Club Can't Handle Me,Flo Rida,0.616,0.869,0,-3.911,1,0.0327,0.0283,0.0,0.064,0.473,127.966,3.9093333333333335,4
40,41,41,Jay Sean featuring Lil Wayne,Down,2010,Jay Sean,Jay Sean Down,Jay Sean,0.657,0.695,2,-4.493,1,0.0321,0.0108,0.0,0.0822,0.683,65.997,3.5351166666666667,4
40,41,41,Jay Sean featuring Lil Wayne,Down,2010,Jay Sean,Jay Sean Down,Lil Wayne,0.657,0.695,2,-4.493,1,0.0321,0.0108,0.0,0.0822,0.683,65.997,3.5351166666666667,4
41,42,42,La Roux,Bulletproof,2010,La Roux,La Roux Bulletproof,La Roux,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,3.4288833333333333,4
42,43,43,Jason Derulo,Whatcha Say,2010,Jason Derulo,Jason Derulo Whatcha Say,Jason Derulo,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,3.68755,4
43,44,44,Justin Bieber featuring Ludacris,Baby,2010,Justin Bieber,Justin Bieber Baby,Justin Bieber,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,3.570666666666667,4
43,44,44,Justin Bieber featuring Ludacris,Baby,2010,Justin Bieber,Justin Bieber Baby,Ludacris,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,3.570666666666667,4
44,45,45,Adam Lambert,Whataya Want from Me,2010,Adam Lambert,Adam Lambert Whataya Want from Me,Adam Lambert,0.44,0.683,11,-4.732,0,0.0489,0.00706,0.0,0.0593,0.445,185.948,3.788666666666667,4
45,46,46,Taylor Swift,Mine,2010,Taylor Swift,Taylor Swift Mine,Taylor Swift,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,3.8451166666666667,4
46,47,47,Rihanna,Only Girl (In the World),2010,Rihanna,Rihanna Only Girl (In the World),Rihanna,0.786,0.716,11,-4.253,0,0.0409,0.102,1.72e-05,0.0557,0.595,125.921,3.925333333333333,4
47,48,48,Kris Allen,Live Like We're Dying,2010,Kris Allen,Kris Allen Live Like We're Dying,Kris Allen,0.589,0.893,0,-2.948,1,0.0397,0.0273,0.0,0.343,0.94,92.011,3.5417833333333335,4
48,49,49,Rihanna featuring Jeezy,Hard,2010,Rihanna featuring,Rihanna  Hard,Rihanna,0.31,0.746,1,-3.599,1,0.111,0.0121,0.0,0.649,0.163,182.032,4.176666666666667,4
48,49,49,Rihanna featuring Jeezy,Hard,2010,Rihanna featuring,Rihanna  Hard,Jeezy,0.31,0.746,1,-3.599,1,0.111,0.0121,0.0,0.649,0.163,182.032,4.176666666666667,4
49,50,50,Jay-Z featuring Mr Hudson,Young Forever,2010,Jay-Z featuring,Jay-Z  Young Forever,JAY-Z,0.637,0.69,9,-3.214,0,0.0693,0.417,0.0,0.211,0.103,140.329,4.2317833333333335,4
49,50,50,Jay-Z featuring Mr Hudson,Young Forever,2010,Jay-Z featuring,Jay-Z  Young Forever,Mr Hudson,0.637,0.69,9,-3.214,0,0.0693,0.417,0.0,0.211,0.103,140.329,4.2317833333333335,4
50,51,51,Kesha featuring 3OH!3,Blah Blah Blah,2010,Kesha featuring,Kesha  Blah Blah Blah,Kesha,0.752,0.836,10,-3.173,1,0.115,0.0843,0.000425,0.424,0.519,120.003,2.86755,4
50,51,51,Kesha featuring 3OH!3,Blah Blah Blah,2010,Kesha featuring,Kesha  Blah Blah Blah,3OH!3,0.752,0.836,10,-3.173,1,0.115,0.0843,0.000425,0.424,0.519,120.003,2.86755,4
51,52,52,Trey Songz featuring Nicki Minaj,Bottoms Up,2010,Trey Songz,Trey Songz Bottoms Up,Trey Songz,0.845,0.601,1,-5.283,1,0.161,0.0205,0.0,0.385,0.329,74.008,4.03355,4
51,52,52,Trey Songz featuring Nicki Minaj,Bottoms Up,2010,Trey Songz,Trey Songz Bottoms Up,Nicki Minaj,0.845,0.601,1,-5.283,1,0.161,0.0205,0.0,0.385,0.329,74.008,4.03355,4
52,53,53,Jay Sean featuring Sean Paul and Lil Jon,Do You Remember,2010,Jay Sean,Jay Sean Do You Remember,Jay Sean,0.855,0.668,11,-4.892,1,0.0644,0.0242,0.0,0.102,0.803,125.846,3.505116666666667,4
52,53,53,Jay Sean featuring Sean Paul and Lil Jon,Do You Remember,2010,Jay Sean,Jay Sean Do You Remember,Sean Paul,0.855,0.668,11,-4.892,1,0.0644,0.0242,0.0,0.102,0.803,125.846,3.505116666666667,4
52,53,53,Jay Sean featuring Sean Paul and Lil Jon,Do You Remember,2010,Jay Sean,Jay Sean Do You Remember,Lil Jon,0.855,0.668,11,-4.892,1,0.0644,0.0242,0.0,0.102,0.803,125.846,3.505116666666667,4
53,54,54,OneRepublic,All the Right Moves,2010,OneRepublic,OneRepublic All the Right Moves,OneRepublic,0.529,0.948,0,-3.527,1,0.0474,0.258,9.35e-06,0.283,0.65,146.024,3.966666666666667,4
54,55,55,Orianthi,According to You,2010,Orianthi,Orianthi According to You,Orianthi,0.619,0.917,5,-2.582,1,0.0507,0.0233,1.21e-05,0.0986,0.552,131.002,3.3391166666666665,4
55,56,56,Ludacris featuring Nicki Minaj,My Chick Bad,2010,Ludacris featuring,Ludacris  My Chick Bad,Ludacris,0.624,0.723,1,-6.782,1,0.378,0.172,0.0,0.483,0.757,84.789,3.61555,4
55,56,56,Ludacris featuring Nicki Minaj,My Chick Bad,2010,Ludacris featuring,Ludacris  My Chick Bad,Nicki Minaj,0.624,0.723,1,-6.782,1,0.378,0.172,0.0,0.483,0.757,84.789,3.61555,4
56,57,57,Taylor Swift,You Belong with Me,2010,Taylor Swift,Taylor Swift You Belong with Me,Taylor Swift,0.687,0.745,6,-4.432,1,0.0379,0.178,1.59e-05,0.111,0.435,129.965,3.8686666666666665,4
57,58,58,The Black Eyed Peas,Meet Me Halfway,2010,The Black,The Black Meet Me Halfway,Black Eyed Peas,0.798,0.629,11,-6.857,0,0.0735,0.00474,2.17e-05,0.324,0.4,130.0,4.73955,4
58,59,59,Kesha,Take It Off,2010,Kesha,Kesha Take It Off,Kesha,0.729,0.675,5,-5.292,0,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036,3.5866666666666664,4
59,60,60,Drake,Over,2010,Drake,Drake Over,Drake,0.35,0.845,7,-5.614,1,0.2,0.0107,0.0,0.123,0.45,99.643,3.8926666666666665,5
60,61,61,Neon Trees,Animal,2010,Neon Trees,Neon Trees Animal,Neon Trees,0.482,0.833,5,-5.611,1,0.0449,0.000346,0.0,0.365,0.74,148.039,3.5382166666666666,4
61,62,62,Maroon 5,Misery,2010,Maroon 5,Maroon 5 Misery,Maroon 5,0.704,0.81,4,-4.874,0,0.0425,0.000315,0.0,0.216,0.726,102.98,3.6033333333333335,4
62,63,63,B.o.B featuring Rivers Cuomo,Magic,2010,B.o.B featuring,B.o.B  Magic,B.o.B,0.549,0.932,8,-4.11,0,0.343,0.0127,0.0,0.347,0.787,82.439,3.268883333333333,4
62,63,63,B.o.B featuring Rivers Cuomo,Magic,2010,B.o.B featuring,B.o.B  Magic,Rivers Cuomo,0.549,0.932,8,-4.11,0,0.343,0.0127,0.0,0.347,0.787,82.439,3.268883333333333,4
63,64,64,Lady Gaga,Paparazzi,2010,Lady Gaga,Lady Gaga Paparazzi,Lady Gaga,0.762,0.692,5,-3.973,0,0.0438,0.113,0.0,0.094,0.397,114.906,3.471783333333333,4
64,65,65,New Boyz featuring Ray J,Tie Me Down,2010,New Boyz,New Boyz Tie Me Down,New Boyz,0.42,0.787,8,-4.467,1,0.294,0.0104,0.0,0.198,0.38,97.967,2.9801333333333333,4
64,65,65,New Boyz featuring Ray J,Tie Me Down,2010,New Boyz,New Boyz Tie Me Down,Ray J,0.42,0.787,8,-4.467,1,0.294,0.0104,0.0,0.198,0.38,97.967,2.9801333333333333,4
65,66,66,Nicki Minaj,Your Love,2010,Nicki Minaj,Nicki Minaj Your Love,Nicki Minaj,0.424,0.52,11,-10.231,1,0.343,0.00204,0.00413,0.411,0.184,189.629,4.08755,4
66,67,67,Miley Cyrus,Party in the U.S.A.,2010,Miley Cyrus,Miley Cyrus Party in the U.S.A.,Miley Cyrus,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,3.367783333333333,4
